Kp,Ki,Kd,Cost
0.8629,0.5000,0.5757,1000006.4290
0.8629,0.5000,0.7171,1000006.4306
0.8629,0.3750,0.5757,1000006.4319
0.8629,0.5000,0.8586,1000006.4323
0.8629,0.5000,1.0000,1000006.4331
0.8629,0.5000,0.2221,1000006.4380
0.8629,0.3750,0.7171,1000006.4411
0.8629,0.3750,0.2221,1000006.4421
0.8629,0.3750,0.8586,1000006.4429
0.8629,0.3750,1.0000,1000006.4439
0.8629,0.2500,1.0000,1000006.4482
0.8629,0.3750,0.5050,1000006.4524
0.8629,0.3750,0.3636,1000006.4527
0.8629,0.3750,0.6464,1000006.4560
0.8629,0.2500,0.3636,1000006.4574
0.8629,0.5000,0.1514,1000006.4578
0.8629,0.2500,0.5050,1000006.4589
0.8629,0.3750,0.1514,1000006.4591
0.8629,0.5000,0.0807,1000006.4617
0.8629,0.2500,0.6464,1000006.4627
0.8629,0.2500,0.7879,1000006.4664
0.8629,0.2500,0.9293,1000006.4697
